"Get-PSVersion","Computer","OperatingSystem","PSVersion","PSCLRVersion","PSWSManStackVersion","PSRemotingProtocolVersion","PSSerializationVersion","PSBuildVersion","PSEdition","PSOS","PSPlatform","PSCompatibleVersions"
,"BATTLESTATION","Microsoft Windows 10 Pro","7.1.4","4.0.30319","3.0","2.3","1.1.0.1","N\A","Core","Microsoft Windows 10.0.19043","Win32NT","1.0,2.0,3.0,4.0,5.0,5.1.10032.0,6.0.0,6.1.0,6.2.0,7.0.0,7.1.4"
,"BATTLESTATION","Microsoft Windows 10 Pro","5.1.19041.1237","4.0.30319.42000","3.0","2.3","1.1.0.1","10.0.19041.1237","Desktop","Microsoft Windows 10.0.19043","Win32NT","1.0,2.0,3.0,4.0,5.0,5.1.19041.1237"
